Id,SalePrice
1461,134779.90016917436
1462,174700.3224669471
1463,164601.12296632148
1464,192272.91705532206
1465,212479.39854209183
1466,176925.63310286138
1467,186498.0989022716
1468,163853.0626526539
1469,205608.49950351316
1470,108882.49783959205
1471,214909.30493924778
1472,142512.31587512908
1473,114281.77052430896
1474,168134.43838197156
1475,132140.97306719463
1476,314911.5609265706
1477,246567.19635303546
1478,289410.7875204372
1479,261748.79220522923
1480,415713.3868562946
1481,296098.7445955954
1482,226143.71514427062
1483,165504.71051128246
1484,182001.32668438737
1485,196167.45504183488
1486,199980.99266865943
1487,286951.46930272353
1488,257642.965758647
1489,183123.29060265172
1490,216025.97380083316
1491,208359.68079659413
1492,117817.93002494445
1493,197788.29976910658
1494,281453.28828290093
1495,278274.0894160498
1496,228417.59826949012
1497,180429.4219398774
1498,168097.6782472208
1499,174868.7994857116
1500,162139.26099780196
1501,208271.27236788522
1502,159795.38543113536
1503,264904.115288536
1504,251875.3320630875
1505,224492.97339340337
1506,212874.55917504453
1507,247195.44414311412
1508,217012.0559792529
1509,156696.49943441065
1510,151830.75225505081
1511,140806.63618088444
1512,189980.4790927641
1513,179692.48256789387
1514,147420.8134394007
1515,203438.77787291352
1516,176165.20623323394
1517,174809.2651995525
1518,132396.38507640097
1519,246253.27639557075
1520,133545.4987504506
1521,128197.81462960149
1522,206461.20167169964
1523,82966.38741248113
1524,108896.52923624215
1525,99135.49595092045
1526,123770.18406442867
1527,92082.48362201161
1528,150558.11699655172
1529,128413.69507739303
1530,221011.22233450026
1531,169444.4580872254
1532,108618.972401963
1533,135288.01696179208
1534,130134.28384429714
1535,138370.61951004885
1536,105085.83654798259
1537,62435.31626365529
1538,200331.4810094702
1539,244422.07263028767
1540,135130.41724648615
1541,167894.7986491588
1542,145384.5543420099
1543,208409.5806798611
1544,81285.28401506811
1545,132252.49827941754
1546,146147.41598272912
1547,145908.82279285774
1548,145986.19981738887
1549,122382.19222638026
1550,142842.31227312595
1551,151353.16397355995
1552,134514.28042397366
1553,162849.26724147875
1554,122335.01766682052
1555,182872.18682389375
1556,101989.90413573655
1557,125584.31418985064
1558,107367.9406571122
1559,91030.12205722762
1560,149039.67916877737
1561,130639.04421999
1562,109320.34125972178
1563,118286.32015901699
1564,155376.1775223515
1565,130970.24951390771
1566,245897.18666719215
1567,78297.3775933685
1568,231816.57899310757
1569,110373.19830190492
1570,141753.63531927578
1571,104051.74824459394
1572,139977.16353779178
1573,228958.57730002987
1574,136124.90115753992
1575,235957.76604155474
1576,234997.1574373327
1577,194350.84489691228
1578,158963.50736156787
1579,131630.4674563403
1580,207854.62502864288
1581,124831.20265935853
1582,113398.27134338551
1583,313101.38618199213
1584,232007.96452343863
1585,153041.8425701931
1586,44362.59973923661
1587,100422.83081218658
1588,139497.41503015198
1589,102558.53703352762
1590,141978.15135419474
1591,61446.27016811297
1592,141352.24764811154
1593,143117.9436278794
1594,100000.23147093132
1595,130315.97173225504
1596,225169.7245851593
1597,167822.44998337407
1598,203538.6808468089
1599,208389.89333910384
1600,206466.77307190542
1601,25598.974240601732
1602,152031.10034396415
1603,72215.61771111414
1604,263371.39285388147
1605,261776.19478309114
1606,180364.0917011666
1607,192954.32889981882
1608,211019.59079722225
1609,188533.4876539181
1610,139794.3818698963
1611,159157.65843375248
1612,159659.22649386642
1613,170695.6587520872
1614,129506.32252989727
1615,67140.88368660872
1616,59522.408570088766
1617,71908.01586242416
1618,99055.21889760328
1619,129906.2737007614
1620,201843.64721044814
1621,125418.55533914184
1622,125952.85011209393
1623,254285.64862647408
1624,216488.12990222304
1625,138509.58809833706
1626,203347.89905710405
1627,191107.03413408544
1628,264741.14442570286
1629,192701.46128594468
1630,331344.0106202457
1631,233032.11703951535
1632,252905.66262767132
1633,187922.22584381682
1634,188474.29266678286
1635,179862.39000372135
1636,155977.880186486
1637,192938.50612413045
1638,225774.8912608273
1639,202673.76436528654
1640,257682.82834156702
1641,199321.61935364816
1642,223981.34812436526
1643,231199.58420495974
1644,233374.2325954594
1645,215069.10644029808
1646,180752.6112455427
1647,181663.00532516764
1648,136151.06674353196
1649,133889.84065228433
1650,102063.6584515995
1651,91452.49199405703
1652,144901.72195957578
1653,139611.72995696357
1654,171966.8483423222
1655,162111.40311412228
1656,161522.37128629815
1657,172049.65617836794
1658,165302.70537595285
1659,148874.84368848923
1660,133152.10328983807
1661,379219.373009152
1662,321056.1511125982
1663,328020.36635584175
1664,426196.84373139555
1665,289311.33935610147
1666,294636.7145528778
1667,294543.3153835876
1668,312378.8206238415
1669,285276.12920907745
1670,309972.5434598271
1671,264918.4726070899
1672,388657.52928059216
1673,286857.0256865723
1674,255620.45171593336
1675,195046.52296613826
1676,207648.62268864425
1677,226476.01176590472
1678,414702.40981993935
1679,324797.5745318041
1680,304849.2178650747
